"oid";"tid";"otid";"bid";"sku";"x";"y";"z";"l";"d";"h";"w"
18113;2;"18113X2";"K0001";"5850300";4540;0;0;1140;480;280;0
18113;2;"18113X2";"K0001";"5850307";3400;1440;1920;1140;480;280;0
18113;1;"18113X1";"K0001";"5850314";2640;950;1140;300;950;1140;0
18113;1;"18113X1";"K0001";"5850319";8840;0;2170;1120;950;134;0
18113;1;"18113X1";"K0001";"5850323";2640;950;0;300;950;1140;0
18113;2;"18113X2";"K0001";"5850324";3400;1620;1440;1140;280;480;0
18113;1;"18113X1";"K0001";"5850330";7890;0;2170;950;1120;134;0
18113;1;"18113X1";"K0001";"5850333";2640;0;1140;300;950;1140;0
18113;1;"18113X1";"K0001";"5850337";2640;0;0;300;950;1140;0
18113;1;"18113X1";"K0001";"5850340";1500;600;600;1140;950;300;0
18113;1;"18113X1";"K0001";"5850343";5330;1800;1200;950;134;1120;0
18113;1;"18113X1";"K0001";"5850348";1500;2150;0;1140;300;950;0
18113;1;"18113X1";"K0001";"5850354";4380;1800;1200;950;134;1120;0
18113;2;"18113X2";"K0001";"5850366";3400;1620;960;1140;280;480;0
18113;1;"18113X1";"K0001";"5850369";1500;1850;0;1140;300;950;0
18113;1;"18113X1";"K0001";"5850372";1900;2500;0;1120;134;950;0
18113;1;"18113X1";"K0001";"5850377";1500;300;600;1140;300;950;0
18113;1;"18113X1";"K0001";"5850382";2940;1740;0;950;134;1120;0
18113;2;"18113X2";"K0001";"5850390";3400;1340;1440;1140;280;480;0
18113;1;"18113X1";"K0001";"5850396";950;2500;0;950;134;1120;0
18113;1;"18113X1";"K0001";"5850399";0;2500;0;950;134;1120;0
18113;2;"18113X2";"K0001";"5850411";3400;1340;960;1140;280;480;0
18113;2;"18113X2";"K0001";"5850415";3400;960;1920;1140;480;280;0
18113;2;"18113X2";"K0001";"5850420";3400;1060;1440;1140;280;480;0
18113;2;"18113X2";"K0001";"5850428";3400;1060;960;1140;280;480;0
18113;2;"18113X2";"K0001";"5850433";3400;780;1440;1140;280;480;0
18113;2;"18113X2";"K0001";"5850436";3400;780;960;1140;280;480;0
18113;2;"18113X2";"K0001";"5850449";3400;480;1920;1140;480;280;0
18113;2;"18113X2";"K0001";"5850450";3400;0;1920;1140;480;280;0
18113;2;"18113X2";"K0001";"5850454";1440;1140;1140;480;280;1140;0
18113;2;"18113X2";"K0001";"5850456";1440;0;1920;480;1140;280;0
18113;2;"18113X2";"K0001";"5850459";960;960;1920;480;1140;280;0
18113;1;"18113X1";"K0001";"5850467";6930;280;950;480;280;1140;0
18113;1;"18113X1";"K0001";"5850475";2280;1620;1080;280;480;1140;0
18113;1;"18113X1";"K0001";"5850478";2280;480;1570;280;1140;480;0
18113;1;"18113X1";"K0001";"5850479";1140;2380;1850;1140;280;480;0
18113;1;"18113X1";"K0001";"5850482";2280;2100;950;280;480;1140;0
18113;1;"18113X1";"K0001";"5850485";1140;2100;1850;1140;280;480;0
18113;1;"18113X1";"K0001";"5850488";1140;2100;1570;1140;480;280;0
18113;1;"18113X1";"K0001";"5850491";0;2240;1570;1140;280;480;0
18113;1;"18113X1";"K0001";"5850494";3890;0;1440;1140;480;280;0
18113;1;"18113X1";"K0001";"5850498";3890;480;1440;1140;280;480;0
18113;1;"18113X1";"K0001";"5850502";3890;0;1900;1140;480;280;0
18113;1;"18113X1";"K0001";"5850505";1500;0;1830;1140;480;280;0
18113;1;"18113X1";"K0001";"5850507";1500;0;1550;1140;480;280;0
18113;1;"18113X1";"K0001";"5850508";1500;1560;600;1140;280;480;0
18113;1;"18113X1";"K0001";"5850509";360;280;1810;1140;280;480;0
18113;1;"18113X1";"K0001";"5850512";360;0;1810;1140;280;480;0
18113;1;"18113X1";"K0001";"5850515";11310;0;950;480;280;1140;0
