"oid","tid","otid","bid","sku","x","y","z","l","d","h","w"
18085,6,"18085X6","K0001","5615646",7250,900,1140,950,300,1140,0
18085,6,"18085X6","K0001","5615647",6300,900,1140,950,300,1140,0
18085,8,"18085X8","K0001","5615648",6550,0,402,1120,950,134,0
18085,8,"18085X8","K0001","5615649",6550,0,268,1120,950,134,0
18085,8,"18085X8","K0001","5615650",6550,0,134,1120,950,134,0
18085,3,"18085X3","K0001","5615651",745,1200,1200,745,1200,1140,0
18085,8,"18085X8","K0001","5615652",6550,0,0,1120,950,134,0
18085,8,"18085X8","K0001","5615653",5210,0,2192,1120,950,134,0
18085,8,"18085X8","K0001","5615654",260,1660,0,960,260,1140,0
18085,8,"18085X8","K0001","5615655",260,1400,0,960,260,1140,0
18085,8,"18085X8","K0001","5615656",5210,0,2058,1120,950,134,0
18085,3,"18085X3","K0001","5615657",745,0,1200,745,1200,1140,0
18085,8,"18085X8","K0001","5615658",260,1140,1660,1140,960,260,0
18085,8,"18085X8","K0001","5615659",260,1140,1400,1140,960,260,0
18085,8,"18085X8","K0001","5615660",6416,0,1120,134,950,1120,0
18085,8,"18085X8","K0001","5615661",260,1140,1140,1140,960,260,0
18085,8,"18085X8","K0001","5615662",260,1140,0,960,260,1140,0
18085,3,"18085X3","K0001","5615663",745,1140,0,745,1140,1200,0
18085,8,"18085X8","K0001","5615664",260,0,1560,960,1140,260,0
18085,8,"18085X8","K0001","5615665",260,0,1300,960,1140,260,0
18085,8,"18085X8","K0001","5615666",260,0,1040,960,1140,260,0
18085,8,"18085X8","K0001","5615667",260,0,780,960,1140,260,0
18085,8,"18085X8","K0001","5615668",260,0,520,960,1140,260,0
18085,8,"18085X8","K0001","5615669",260,0,260,960,1140,260,0
18085,8,"18085X8","K0001","5615670",260,0,0,960,1140,260,0
18085,8,"18085X8","K0001","5615671",0,2360,1140,960,260,1140,0
18085,8,"18085X8","K0001","5625963",6416,0,0,134,950,1120,0
18085,8,"18085X8","K0001","5625964",6282,0,804,134,950,1120,0
18085,7,"18085X7","K0001","5625965",1510,280,0,950,280,1140,0
18085,7,"18085X7","K0001","5625966",1510,0,0,950,280,1140,0
18085,8,"18085X8","K0001","5625967",6148,0,804,134,950,1120,0
18085,3,"18085X3","K0001","5625968",745,0,0,745,1140,1200,0
18085,8,"18085X8","K0001","5625969",6014,0,804,134,950,1120,0
18085,6,"18085X6","K0001","5625970",5350,900,1140,950,300,1140,0
18085,8,"18085X8","K0001","5625971",0,2360,0,960,260,1140,0
18085,8,"18085X8","K0001","5625972",0,2100,1140,960,260,1140,0
18085,8,"18085X8","K0001","5625973",5880,0,804,134,950,1120,0
