"oid","tid","otid","bid","sku","x","y","z","l","d","h","w"
18106,19,"18106X19","K0001","5782091",3990,2260,0,1140,280,950,0
18106,24,"18106X24","K0001","5782109",8980,780,1140,1140,960,260,0
18106,19,"18106X19","K0001","5782110",3040,2260,0,950,280,1140,0
18106,19,"18106X19","K0001","5782111",3410,1400,1120,950,280,1140,0
18106,19,"18106X19","K0001","5782112",3410,1120,1120,950,280,1140,0
18106,5,"18106X5","K0001","5782119",2340,300,0,300,1140,1550,0
18106,5,"18106X5","K0001","5782120",2040,1440,0,300,1140,1550,0
18106,24,"18106X24","K0001","5782132",8020,780,1140,960,1140,260,0
18106,19,"18106X19","K0001","5782135",3410,1120,840,950,1140,280,0
18106,19,"18106X19","K0001","5782136",3410,1120,560,950,1140,280,0
18106,5,"18106X5","K0001","5782137",2040,300,0,300,1140,1550,0
18106,5,"18106X5","K0001","5782145",1740,1440,0,300,1140,1550,0
18106,24,"18106X24","K0001","5782146",8020,2360,0,960,260,1140,0
18106,19,"18106X19","K0001","5782147",3410,1120,280,950,1140,280,0
18106,19,"18106X19","K0001","5782148",3410,1120,0,950,1140,280,0
18106,5,"18106X5","K0001","5782153",1740,300,0,300,1140,1550,0
18106,19,"18106X19","K0001","5782155",3410,840,1140,950,280,1140,0
18106,19,"18106X19","K0001","5782157",3410,840,0,950,280,1140,0
18106,5,"18106X5","K0001","5782160",1440,1440,0,300,1140,1550,0
18106,24,"18106X24","K0001","5782162",8020,2100,0,960,260,1140,0
18106,5,"18106X5","K0001","5782164",1440,300,0,300,1140,1550,0
18106,5,"18106X5","K0001","5782170",11700,0,0,300,1140,1550,0
18106,19,"18106X19","K0001","5782171",3410,560,1140,950,280,1140,0
18106,19,"18106X19","K0001","5782172",3410,560,0,950,280,1140,0
18106,24,"18106X24","K0001","5782173",7060,2260,0,960,260,1140,0
18106,5,"18106X5","K0001","5782176",10560,0,0,1140,300,1550,0
18106,5,"18106X5","K0001","5782179",9420,0,0,1140,300,1550,0
18106,19,"18106X19","K0001","5782181",3410,280,1140,950,280,1140,0
18106,19,"18106X19","K0001","5782183",3410,280,0,950,280,1140,0
18106,24,"18106X24","K0001","5782187",5920,2260,1300,1140,260,960,0
18106,5,"18106X5","K0001","5782189",8280,0,0,1140,300,1550,0
18106,19,"18106X19","K0001","5782191",3410,0,1140,950,280,1140,0
18106,5,"18106X5","K0001","5782196",7140,0,0,1140,300,1550,0
18106,24,"18106X24","K0001","5782197",5920,2000,1300,1140,260,960,0
18106,5,"18106X5","K0001","5782198",6000,0,0,1140,300,1550,0
18106,5,"18106X5","K0001","5782201",4860,0,0,1140,300,1550,0
18106,5,"18106X5","K0001","5782203",3720,0,0,1140,300,1550,0
18106,24,"18106X24","K0001","5782204",5920,1740,1300,1140,260,960,0
18106,5,"18106X5","K0001","5782205",2580,0,0,1140,300,1550,0
18106,5,"18106X5","K0001","5782206",1440,0,0,1140,300,1550,0
18106,24,"18106X24","K0001","5782207",5920,1480,1300,1140,260,960,0
18106,5,"18106X5","K0001","5782208",300,1800,0,1140,300,1550,0
18106,5,"18106X5","K0001","5782209",300,1500,0,1140,300,1550,0
18106,24,"18106X24","K0001","5782210",5660,1480,1300,260,1140,960,0
18106,24,"18106X24","K0001","5782211",5400,1480,1300,260,1140,960,0
18106,5,"18106X5","K0001","5782212",300,1200,0,1140,300,1550,0
18106,5,"18106X5","K0001","5782213",300,900,0,1140,300,1550,0
18106,5,"18106X5","K0001","5782214",300,600,0,1140,300,1550,0
18106,24,"18106X24","K0001","5782215",5140,1480,1300,260,1140,960,0
18106,24,"18106X24","K0001","5782216",5140,1480,1040,960,1140,260,0
18106,5,"18106X5","K0001","5782217",300,300,0,1140,300,1550,0
18106,5,"18106X5","K0001","5782218",300,0,0,1140,300,1550,0
18106,24,"18106X24","K0001","5782219",5320,1220,1040,960,260,1140,0
18106,5,"18106X5","K0001","5782220",0,2280,0,1140,300,1550,0
18106,5,"18106X5","K0001","5782221",0,1140,0,300,1140,1550,0
18106,24,"18106X24","K0001","5782222",5320,1220,780,1140,960,260,0
18106,24,"18106X24","K0001","5782223",5320,960,1040,1140,260,960,0
18106,24,"18106X24","K0001","5782224",9960,0,1920,1140,960,260,0
18106,5,"18106X5","K0001","5782225",0,0,0,300,1140,1550,0
18106,24,"18106X24","K0001","5782226",9960,0,1660,1140,960,260,0
18106,4,"18106X4","K0001","5782227",9530,1140,1850,1550,1140,300,0
18106,24,"18106X24","K0001","5782228",8820,0,1920,1140,960,260,0
18106,24,"18106X24","K0001","5782229",8820,0,1660,1140,960,260,0
18106,4,"18106X4","K0001","5782230",9530,1140,1550,1550,1140,300,0
18106,24,"18106X24","K0001","5782231",7680,0,1920,1140,960,260,0
18106,4,"18106X4","K0001","5782232",9530,0,1850,1550,1140,300,0
18106,24,"18106X24","K0001","5782233",7680,0,1660,1140,960,260,0
18106,24,"18106X24","K0001","5782234",10920,0,1400,960,1140,260,0
18106,4,"18106X4","K0001","5782236",9530,0,1550,1550,1140,300,0
18106,24,"18106X24","K0001","5782237",9780,0,1400,1140,960,260,0
18106,4,"18106X4","K0001","5782239",8390,0,1850,1140,1550,300,0
18106,4,"18106X4","K0001","5782241",8390,0,1550,1140,1550,300,0
18106,24,"18106X24","K0001","5782242",8820,0,1400,960,1140,260,0
18106,24,"18106X24","K0001","5782244",7680,0,1400,1140,960,260,0
18106,4,"18106X4","K0001","5782245",7750,1550,1850,1550,1140,300,0
18106,24,"18106X24","K0001","5782247",6720,0,1920,960,1140,260,0
18106,4,"18106X4","K0001","5782248",7750,1550,1550,1550,1140,300,0
18106,4,"18106X4","K0001","5782251",6200,1550,1850,1550,1140,300,0
18106,24,"18106X24","K0001","5782252",6720,0,1660,960,1140,260,0
18106,24,"18106X24","K0001","5782258",6720,0,1400,960,1140,260,0
18106,24,"18106X24","K0001","5782261",6720,960,780,960,1140,260,0
18106,24,"18106X24","K0001","5782264",6720,960,520,960,1140,260,0
18106,19,"18106X19","K0001","5782267",3410,0,0,950,280,1140,0
18106,19,"18106X19","K0001","5782271",2180,0,1420,950,1140,280,0
18106,24,"18106X24","K0001","5782272",6720,960,260,960,1140,260,0
18106,24,"18106X24","K0001","5782273",9420,520,260,960,260,1140,0
18106,24,"18106X24","K0001","5782277",8460,520,260,960,260,1140,0
18106,24,"18106X24","K0001","5782279",7500,520,260,960,260,1140,0
18106,19,"18106X19","K0001","5782282",2740,1900,1140,950,280,1140,0
18106,24,"18106X24","K0001","5782283",9420,260,260,960,260,1140,0
18106,19,"18106X19","K0001","5782284",3130,950,1140,280,950,1140,0
18106,24,"18106X24","K0001","5782289",8460,260,260,960,260,1140,0
18106,4,"18106X4","K0001","5782290",6200,1550,1550,1550,1140,300,0
18106,24,"18106X24","K0001","5782292",7500,260,260,960,260,1140,0
18106,24,"18106X24","K0001","5782293",10900,0,260,260,960,1140,0
