"oid","tid","otid","bid","sku","x","y","z","l","d","h","w"
43648,2,"43648X2","K0001","5649235",0,1120,0,360,1120,2240,740
43648,1,"43648X1","K0001","5649236",360,1490,720,1140,745,1200,450
43648,1,"43648X1","K0001","5649238",360,745,720,1140,745,1200,450
43648,2,"43648X2","K0001","5649240",0,0,0,360,1120,2240,740
43648,1,"43648X1","K0001","5649243",360,0,720,1140,745,1200,450
43648,2,"43648X2","K0001","5649252",10980,600,0,950,300,1140,377
43648,1,"43648X1","K0001","5649268",360,950,1920,1140,950,280,229
43648,3,"43648X3","K0001","5649280",3460,2240,0,480,280,1140,385
43648,1,"43648X1","K0001","5649285",7200,1140,0,1140,1200,560,400
43648,2,"43648X2","K0001","5649287",10030,600,0,950,300,1140,377
43648,1,"43648X1","K0001","5649292",360,0,1920,1140,950,280,229
43648,3,"43648X3","K0001","5649302",1550,2040,300,950,300,1140,424
43648,2,"43648X2","K0001","5649303",9080,600,0,950,300,1140,377
43648,3,"43648X3","K0001","5649304",3460,1100,0,480,1140,280,385
43648,3,"43648X3","K0001","5649305",3460,820,0,480,280,1140,385
43648,3,"43648X3","K0001","5649306",1550,1740,300,950,300,1140,424
43648,2,"43648X2","K0001","5649307",8130,600,0,950,300,1140,377
43648,2,"43648X2","K0001","5649309",7180,600,0,950,300,1140,377
43648,2,"43648X2","K0001","5649310",6230,600,0,950,300,1140,377
43648,2,"43648X2","K0001","5649312",5280,600,0,950,300,1140,377
43648,2,"43648X2","K0001","5649315",4330,600,0,950,300,1140,377
43648,2,"43648X2","K0001","5649318",3380,600,0,950,300,1140,377
43648,3,"43648X3","K0001","5649319",3460,540,0,480,280,1140,385
43648,2,"43648X2","K0001","5649321",10980,300,0,950,300,1140,377
43648,2,"43648X2","K0001","5649322",10030,300,0,950,300,1140,377
43648,2,"43648X2","K0001","5649325",9080,300,0,950,300,1140,377
43648,2,"43648X2","K0001","5649326",8130,300,0,950,300,1140,377
43648,2,"43648X2","K0001","5649327",7180,300,0,950,300,1140,377
43648,2,"43648X2","K0001","5649330",6230,300,0,950,300,1140,377
43648,2,"43648X2","K0001","5649331",5280,300,0,950,300,1140,377
43648,2,"43648X2","K0001","5649334",4330,300,0,950,300,1140,377
43648,2,"43648X2","K0001","5649336",3380,300,0,950,300,1140,377
43648,2,"43648X2","K0001","5649338",10980,0,0,950,300,1140,377
43648,2,"43648X2","K0001","5649339",10030,0,0,950,300,1140,377
43648,2,"43648X2","K0001","5649343",9080,0,0,950,300,1140,377
43648,2,"43648X2","K0001","5649344",8130,0,0,950,300,1140,377
43648,2,"43648X2","K0001","5649345",7180,0,0,950,300,1140,377
43648,2,"43648X2","K0001","5649346",6230,0,0,950,300,1140,377
43648,4,"43648X4","K0001","5649348",260,0,0,1120,260,1570,1300
43648,2,"43648X2","K0001","5649349",5280,0,0,950,300,1140,377
43648,2,"43648X2","K0001","5649352",4330,0,0,950,300,1140,377
43648,2,"43648X2","K0001","5649353",3380,0,0,950,300,1140,377
43648,2,"43648X2","K0001","5649354",2430,1800,0,950,300,1140,377
43648,2,"43648X2","K0001","5649356",2430,1500,0,950,300,1140,377
43648,2,"43648X2","K0001","5649360",2430,1200,0,950,300,1140,377
