"oid","tid","otid","bid","sku","x","y","z","l","d","h","w"
18099,12,"18099X12","K0001","5724457",9900,1200,0,300,950,1140,0
18099,12,"18099X12","K0001","5724477",9600,1200,0,300,950,1140,0
18099,17,"18099X17","K0001","5724478",6720,0,1920,960,1140,260,0
18099,12,"18099X12","K0001","5724492",9300,1200,0,300,950,1140,0
18099,17,"18099X17","K0001","5724495",6720,0,1660,960,1140,260,0
18099,12,"18099X12","K0001","5724496",9000,1200,0,300,950,1140,0
18099,17,"18099X17","K0001","5724499",6720,0,1400,960,1140,260,0
18099,17,"18099X17","K0001","5724502",6720,960,780,960,1140,260,0
18099,17,"18099X17","K0001","5724505",6720,960,520,960,1140,260,0
18099,17,"18099X17","K0001","5724507",6720,960,260,960,1140,260,0
18099,17,"18099X17","K0001","5724510",9420,520,260,960,260,1140,0
18099,17,"18099X17","K0001","5724512",8460,520,260,960,260,1140,0
18099,17,"18099X17","K0001","5724515",7500,520,260,960,260,1140,0
18099,17,"18099X17","K0001","5724516",9420,260,260,960,260,1140,0
18099,17,"18099X17","K0001","5724518",8460,260,260,960,260,1140,0
18099,5,"18099X5","K0001","5724519",300,300,0,1140,300,1550,0
18099,14,"18099X14","K0001","5724522",2460,1120,0,950,280,1140,0
18099,14,"18099X14","K0001","5724523",2460,840,0,950,280,1140,0
18099,6,"18099X6","K0001","5724528",9685,745,0,1200,1140,745,0
18099,6,"18099X6","K0001","5724529",10885,0,1200,745,1200,1140,0
18099,17,"18099X17","K0001","5724533",7500,260,260,960,260,1140,0
18099,17,"18099X17","K0001","5724535",10900,0,260,260,960,1140,0
18099,17,"18099X17","K0001","5724536",10640,0,260,260,960,1140,0
18099,17,"18099X17","K0001","5724537",10380,0,260,260,960,1140,0
18099,17,"18099X17","K0001","5724541",9420,0,260,960,260,1140,0
18099,17,"18099X17","K0001","5724542",8460,0,260,960,260,1140,0
18099,17,"18099X17","K0001","5724545",7500,0,260,960,260,1140,0
18099,17,"18099X17","K0001","5724546",7240,0,260,260,960,1140,0
18099,17,"18099X17","K0001","5724549",6980,0,260,260,960,1140,0
18099,17,"18099X17","K0001","5724550",6720,0,260,260,960,1140,0
18099,14,"18099X14","K0001","5724551",2460,560,0,950,280,1140,0
18099,6,"18099X6","K0001","5724552",10885,0,0,1140,745,1200,0
18099,17,"18099X17","K0001","5724554",11680,1140,0,260,960,1140,0
18099,6,"18099X6","K0001","5724555",9685,0,1140,1200,745,1140,0
18099,6,"18099X6","K0001","5724556",9685,0,0,1200,745,1140,0
18099,17,"18099X17","K0001","5724558",11420,1140,0,260,960,1140,0
18099,17,"18099X17","K0001","5724559",11540,0,0,260,1140,960,0
18099,17,"18099X17","K0001","5724560",11280,0,0,260,960,1140,0
18099,14,"18099X14","K0001","5724561",2460,280,0,950,280,1140,0
18099,14,"18099X14","K0001","5724562",2460,0,0,950,280,1140,0
18099,6,"18099X6","K0001","5724563",8940,1200,1200,745,1200,1140,0
18099,17,"18099X17","K0001","5724564",10460,960,0,960,1140,260,0
18099,17,"18099X17","K0001","5724565",9500,960,0,960,1140,260,0
18099,17,"18099X17","K0001","5724567",9240,960,0,260,1140,960,0
18099,6,"18099X6","K0001","5724568",8940,0,1200,745,1200,1140,0
18099,14,"18099X14","K0001","5724569",1900,0,1900,1140,950,280,0
18099,17,"18099X17","K0001","5724570",8980,960,0,260,1140,960,0
