oid;sku;l;d;h;w
43648;5649465;950;1140;300;377
43648;5649466;1140;280;480;385
43648;5649468;950;134;1120;586
43648;5649469;1140;1200;560;400
43648;5649470;950;300;1140;377
43648;5649471;1140;1200;560;400
43648;5649472;950;134;1120;586
43648;5649474;1140;1200;560;400
43648;5649476;134;1120;950;436
43648;5649479;560;1200;1140;400
43648;5649480;134;1120;950;436
43648;5649482;1120;134;950;436
43648;5649483;134;1120;950;436
43648;5649484;560;1200;1140;400
43648;5649485;950;134;1120;586
43648;5649491;950;134;1120;436
43648;5649492;560;1200;1140;400
43648;5649493;950;1120;134;436
43648;5649494;480;1140;280;385
43648;5649495;560;1200;1140;400
43648;5649496;280;1140;480;385
43648;5649497;560;1200;1140;400
43648;5649499;560;1200;1140;400
43648;5649500;560;1200;1140;400
43648;5649502;560;1200;1140;400
43648;5649503;950;300;1140;377
43648;5649507;560;1200;1140;400
43648;5649509;560;1200;1140;400
43648;5649513;560;1200;1140;400
43648;5649517;560;1200;1140;400
43648;5649521;134;1120;950;586
43648;5649522;1200;560;1140;400
43648;5649524;134;1120;950;586
43648;5649525;560;1200;1140;400
43648;5649526;134;950;1120;586
43648;5649527;560;1200;1140;400
43648;5649528;134;950;1120;586
43648;5649529;560;1140;1200;400
43648;5649531;560;1140;1200;400
43648;5649532;560;1140;1200;400
43648;5649534;560;1140;1200;400
43648;5649535;560;1140;1200;400
43648;5649537;560;1140;1200;400
43648;5649539;560;1140;1200;400
43648;5649542;560;1140;1200;400
43648;5649544;560;1140;1200;400
43648;5649546;560;1140;1200;400
43648;5649548;560;1140;1200;400
43648;5649549;560;1140;1200;400
43648;5649551;560;1140;1200;400
43648;5649552;1200;560;1140;400
43648;5649553;1140;560;1200;400
43648;5649554;560;1200;1140;400
43648;5649557;560;1200;1140;400
43648;5649559;1140;1200;560;400
43648;5649561;1140;1200;560;400
43648;5649567;560;1140;1200;400
